Category,Component,Value,Qty,Designator,Part Number,Supplier,Unit Cost (USD),Total Cost (USD),Notes
ICs & Chips,USB Hub IC,SL2.1S,1,U1,C2684433,LCSC,1.20,1.20,CoreChips - port splitting engine
Clock Crystals,Crystal Resonator,12MHz 20pF,1,X1,C9002,LCSC,0.15,0.15,3225 SMD package
Connectors,USB Type-C Receptacle,16-PIN SMD,3,USB1/2/5,C2765186,LCSC,0.50,1.50,1 upstream + 2 downstream
Connectors,USB Type-A Receptacle,10.0 QHHTZB6.3,2,USB3/4,C668591,LCSC,0.30,0.60,2 downstream horizontal
Resistors,Pull-Down Resistor,5.1 kΩ 0603,2,R1/2,C14677,LCSC,0.01,0.02,Upstream CC pins
Resistors,Pull-Up Resistor,56 kΩ 0603,4,R3-R6,C23206,LCSC,0.01,0.04,Downstream CC pins
Capacitors,Decoupling Capacitor,1 µF 0603,8,C1-C6/C9-C10,C15849,LCSC,0.02,0.16,Bulk power distribution
Capacitors,Decoupling Capacitor,100 nF 0603,3,C7/C8/C11,C14663,LCSC,0.01,0.03,High-frequency noise filtering
Capacitors,Crystal Load Capacitor,33 pF 0603,2,C14/C15,C1663,LCSC,0.02,0.04,Crystal load matching
Manufacturing,PCB Fabrication,2-layer 1.6mm Blue,5,—,—,PCBWay,4.00,4.00,5 boards HASL finish
Manufacturing,PCBA Assembly,Economic SMT Top-side,2,—,—,PCBWay,26.30,26.30,Automated assembly service
Manufacturing,3D Case Enclosure,Custom Housing,1,—,—,3D Vendor,15.00,15.00,Custom CAD printed case
,,,,,,,TOTAL COST,49.04,Complete USB Hub with Enclosure
